time,EAR
04:01:385713,0
04:01:385713,1
04:01:385713,1
04:01:385713,1
04:01:385713,1
04:01:385713,1
04:01:385713,1
04:02:794258,1
04:02:794258,1
04:02:794258,1
04:02:794258,1
04:02:794258,0
04:02:794258,0
04:04:142637,1
04:04:142637,1
04:04:142637,1
04:04:142637,1
04:04:142637,1
04:04:142637,1
04:05:553695,1
04:43:729087,1
04:43:729087,1
04:43:729087,1
04:43:729087,1
04:43:729087,1
04:43:729087,1
04:43:729087,1
04:43:729087,1
04:43:729087,0
04:43:729087,0
04:45:353787,0
04:45:353787,1
04:45:353787,1
04:45:353787,1
04:45:353787,1
04:45:353787,1
04:45:353787,1
04:45:353787,0
04:45:353787,1
04:45:353787,1
04:46:752935,0
04:46:752935,0
04:46:752935,1
04:46:752935,1
04:46:752935,1
04:46:752935,0
04:46:752935,1
04:46:752935,1
04:46:752935,1
04:46:752935,1
04:48:317279,1
04:48:317279,0
04:48:317279,1
04:48:317279,1
04:48:317279,1
04:48:317279,1
04:48:317279,1
04:48:317279,1
04:48:317279,1
04:48:317279,0
04:50:032938,1
04:50:032938,1
04:50:032938,1
04:50:032938,1
04:50:032938,1
04:50:032938,0
04:50:032938,1
04:50:032938,1
04:50:032938,1
04:50:032938,1
04:51:667499,1
04:51:667499,1
04:51:667499,1
04:51:667499,0
04:51:667499,0
04:51:667499,0
04:51:667499,0
04:51:667499,0
04:51:667499,1
04:51:667499,1
04:53:342294,1
04:53:342294,1
04:53:342294,1
04:53:342294,1
04:53:342294,0
04:53:342294,1
04:53:342294,1
04:53:342294,1
04:53:342294,1
04:53:342294,1
04:55:082778,1
04:55:082778,1
04:55:082778,1
04:55:082778,1
04:55:082778,0
04:55:082778,1
04:55:082778,0
04:55:082778,0
04:55:082778,0
04:55:082778,0
04:56:770908,1
04:56:770908,0
04:56:770908,0
04:56:770908,0
04:56:770908,0
04:56:770908,0
04:56:770908,0
04:56:770908,0
04:56:770908,0
04:56:770908,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,1
04:58:463362,0
05:00:141856,1
05:00:141856,1
05:00:141856,1
05:00:141856,1
05:00:141856,0
05:00:141856,1
05:00:141856,1
05:00:141856,0
05:00:141856,1
05:00:141856,1
05:01:922668,1
05:01:922668,0
05:01:922668,1
05:01:922668,1
05:01:922668,1
05:01:922668,1
05:01:922668,1
05:01:922668,1
05:01:922668,1
05:01:922668,1
05:03:694748,1
05:03:694748,1
05:03:694748,1
05:03:694748,1
05:03:694748,0
05:03:694748,0
05:03:694748,0
05:03:694748,0
05:03:694748,1
05:03:694748,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:05:470694,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:07:188986,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:08:919596,1
05:10:590723,1
05:10:590723,0
05:10:590723,0
05:10:590723,1
05:10:590723,0
05:12:299716,1
05:12:299716,1
05:12:299716,1
05:12:299716,1
05:12:299716,1
05:12:299716,0
05:12:299716,0
05:12:299716,1
05:12:299716,0
05:14:008005,1
05:14:008005,0
05:14:008005,0
05:14:008005,1
05:14:008005,1
05:14:008005,1
05:14:008005,1
05:14:008005,1
05:14:008005,1
05:14:008005,1
05:15:672714,1
05:15:672714,0
05:15:672714,1
05:15:672714,1
05:15:672714,1
05:15:672714,0
05:15:672714,1
05:17:325383,0
05:17:325383,1
05:17:325383,0
05:17:325383,1
05:17:325383,1
05:17:325383,1
05:17:325383,0
05:17:325383,0
05:17:325383,1
05:17:325383,1
05:19:035755,1
05:19:035755,1
05:19:035755,0
05:19:035755,0
05:19:035755,0
05:19:035755,1
05:19:035755,0
05:19:035755,0
05:22:432108,1
05:22:432108,1
05:24:062621,1
05:24:062621,1
05:24:062621,1
05:24:062621,1
05:24:062621,1
05:25:807717,0
05:25:807717,0
05:25:807717,1
05:25:807717,0
05:25:807717,0
05:25:807717,0
05:27:636151,1
05:27:636151,0
05:27:636151,0
05:27:636151,1
05:27:636151,1
05:27:636151,1
05:27:636151,1
05:27:636151,1
05:27:636151,0
05:27:636151,1
05:29:237176,1
05:29:237176,1
05:30:526940,1
05:30:526940,1
05:30:526940,1
05:30:526940,1
05:30:526940,1
05:30:526940,1
05:30:526940,0
05:30:526940,1
05:30:526940,1
05:30:526940,1
17:18:466138,0
17:18:466138,0
17:18:466138,0
17:18:466138,1
17:18:466138,1
17:18:466138,0
17:18:466138,0
17:18:466138,0
17:18:466138,0
17:18:466138,0
17:18:466138,0
17:18:466138,0
17:20:214328,0
17:20:214328,1
17:20:214328,1
17:20:214328,0
17:20:214328,1
17:20:214328,0
17:20:214328,1
17:20:214328,0
17:20:214328,0
17:20:214328,0
17:20:214328,1
17:20:214328,0
17:20:214328,0
17:20:214328,1
17:20:214328,1
17:20:214328,0
17:20:214328,1
17:20:214328,0
17:21:908686,1
17:21:908686,0
17:21:908686,1
17:21:908686,0
17:21:908686,1
17:21:908686,0
17:21:908686,1
17:21:908686,0
17:21:908686,1
17:21:908686,1
17:21:908686,1
17:21:908686,0
17:21:908686,0
17:21:908686,1
17:21:908686,0
17:21:908686,1
17:21:908686,0
17:21:908686,0
17:21:908686,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,1
17:23:565894,1
17:23:565894,1
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:23:565894,0
17:25:290668,0
17:25:290668,0
17:25:290668,0
17:25:290668,0
17:25:290668,1
17:25:290668,0
17:25:290668,1
17:25:290668,0
17:25:290668,0
17:25:290668,0
17:25:290668,0
